order,headword,definition,WordAoA_AoA Mean,WordAoA_AoA SD,WordAoA_No. of Raters,WordAoA_Male %,WordAoA_Female %,WordAoA_Age Max,WordAoA_Age Min,WordAoA_Education Max,WordAoA_Education Min,ValenceArousal_Valence_Mean,ValenceArousal_Valence_SD,ValenceArousal_Valence_N,ValenceArousal_Arousal_Mean,ValenceArousal_Arousal_SD,ValenceArousal_Arousal_N,ValenceArousal_Men_Valence_Mean,ValenceArousal_Men_Valence_SD,ValenceArousal_Men_Valence_N,ValenceArousal_Women_Valence_Mean,ValenceArousal_Women_Valence_SD,ValenceArousal_Women_Valence_N,ValenceArousal_Men_Arousal_Mean,ValenceArousal_Men_Arousal_SD,ValenceArousal_Men_Arousal_N,ValenceArousal_Women_Arousal_Mean,ValenceArousal_Women_Arousal_SD,ValenceArousal_Women_Arousal_N,SUBTLEXWord_WCount,SUBTLEXWord_W/million,SUBTLEXWord_logW,SUBTLEXWord_W-CD,SUBTLEXWord_W-CD%,SUBTLEXWord_logW-CD,MELD_lexicality,MELD_N,MELD_RT,MELD_RTSD,MELD_zRT,MELD_zRTSD,MELD_ERR,MELD_length,MELD_tstroke,MELD_wfreq,MELD_wfreq/mil,MELD_cd,MELD_C1stroke,MELD_C2stroke,MELD_C1nwf,MELD_C2nwf,MELD_C1cf,MELD_C2cf,MELD_C1nom,MELD_C2nom,MELD_C1nop,MELD_C2nop,Concreteness_Mean of Valid Ratings,Concreteness_SD of Valid Ratings,Concreteness_No.of Valid Ratings,CLD_C1,CLD_C2,CLD_Length,CLD_C1Structure,CLD_C2Structure,CLD_C1Type,CLD_C2Type,CLD_Pinyin,CLD_C1Pinyin,CLD_C2Pinyin,CLD_IPA,CLD_C1IPA,CLD_C2IPA,CLD_InitialPhoneme,CLD_FinalPhoneme,CLD_Phonemes,CLD_C1Phonemes,CLD_C2Phonemes,CLD_C1Tone,CLD_C2Tone,CLD_Frequency,CLD_C1Frequency,CLD_C2Frequency,CLD_FrequencyRaw,CLD_C1FrequencyRaw,CLD_C2FrequencyRaw,CLD_FrequencySUBTL,CLD_C1FrequencySUBTL,CLD_C2FrequencySUBTL,CLD_FrequencyRawSUBTL,CLD_C1FrequencyRawSUBTL,CLD_C2FrequencyRawSUBTL,CLD_FrequencyWeibo,CLD_C1FrequencyWeibo,CLD_C2FrequencyWeibo,CLD_FrequencyRawWeibo,CLD_C1FrequencyRawWeibo,CLD_C2FrequencyRawWeibo,CLD_PhonologicalFrequency,CLD_C1PhonologicalFrequency,CLD_C2PhonologicalFrequency,CLD_C1FamilySize,CLD_C2FamilySize,CLD_C1FamilyFrequency,CLD_C2FamilyFrequency,CLD_Strokes,CLD_C1Strokes,CLD_C2Strokes,CLD_C1Pixels,CLD_C2Pixels,CLD_C1PictureSize,CLD_C2PictureSize,CLD_C1OLDPixels,CLD_C2OLDPixels,CLD_PhonologicalN,CLD_C1PhonologicalN,CLD_C2PhonologicalN,CLD_PLD,CLD_C1PLD,CLD_C2PLD,CLD_C1SR,CLD_C2SR,CLD_C1SRFrequency,CLD_C2SRFrequency,CLD_C1SRFamilySize,CLD_C2SRFamilySize,CLD_C1SRStrokes,CLD_C2SRStrokes,CLD_MeanPhonemeFrequency,CLD_C1MeanPhonemeFrequency,CLD_C2MeanPhonemeFrequency,CLD_MinPhonemeFrequency,CLD_C1MinPhonemeFrequency,CLD_C2MinPhonemeFrequency,CLD_MaxPhonemeFrequency,CLD_C1MaxPhonemeFrequency,CLD_C2MaxPhonemeFrequency,CLD_C1InitialPhonemeFrequency,CLD_C2InitialPhonemeFrequency,CLD_MeanDiphoneFrequency,CLD_MinDiphoneFrequency,CLD_MaxDiphoneFrequency,CLD_C1Friends,CLD_C2Friends,CLD_C1HomographTypes,CLD_C2HomographTypes,CLD_C1HomographTokens,CLD_C2HomographTokens,CLD_C1FriendsFrequency,CLD_C2FriendsFrequency,CLD_C1HomographsFrequency,CLD_C2HomographsFrequency,CLD_C1HomophoneTypes,CLD_C2HomophoneTypes,CLD_C1HomophoneTokens,CLD_C2HomophoneTokens,CLD_C1HomophonesFrequency,CLD_C2HomophonesFrequency,CLD_C1Entropy,CLD_C1BackwardEntropy,CLD_C1RE,CLD_C2RE,CLD_PMI,CLD_PSPMI,CLD_TScore,CLD_PSTScore,CLD_C1ConditionalProbability,CLD_C1BackwardConditionalProbability,CLD_EntropyCharacterFrequencies
1072,丈夫,"<entry id=""65532""><hwg><hw>丈夫</hw><pinyin>zhàngfū</pinyin></hwg><def><ps>名</ps>成年男子：<ex>伟～｜～气。</ex></def>",11.7894736842105,4.837112859828,19.0,36.8421052631579,63.1578947368421,52.0,21.0,5.0,4.0,0.42,0.81,26.0,1.83,1.11,23.0,0.54,0.88,13.0,0.31,0.75,13.0,1.67,0.87,9.0,1.93,1.27,14.0,6115.0,182.28,3.7864,2216.0,35.5,3.3456,1.0,40.0,692.62075,357.615078594128,-0.510040733775666,1.02550241774884,2.4390243902439,2.0,7.0,6115.0,182.28,2216.0,3.0,1.0,12.0,1.0,6238.0,1.0,3.0,1.0,1.0,1.0,1.461538,0.706018,26.0,丈,夫,2.0,SG,SG,Picto,Picto,zhang4fu5,zhang4,fu5,ʈʂaŋ4fu5,ʈʂaŋ4,fu5,ʈʂ,u,5.0,3.0,2.0,4.0,5.0,69.4885,58.5728,290.7901,9374.0,11861.0,58885.0,182.5373,133.2906,507.8419,6115.0,6238.0,23767.0,32.14,36.1143,225.5491,3259.0,5623.0,35118.0,69.4885,316.8421,649.5256,12.0,61.0,80.2743,327.9837,7.0,3.0,4.0,2788.0,2843.0,2723.0,2314.0,2434.1,1991.65,0.0,23.0,11.0,2.35,1.0,1.4,一,大,47068.6864,16670.0889,26.0,29.0,1.0,3.0,150239.7672,177646.7803,109129.2476,25493.1801,62190.2001,25493.1801,321278.7324,321278.7324,192765.315,62190.2001,25493.1801,18804.0697,2113.9733,60500.3632,12.0,8.0,0.0,1.0,0.0,53.0,11.06,76.5901,0.0,194.9518,9.0,7.0,95.0,14.0,236.2936,503.447,0.0747,2.8821,5.7481,5.876,10.0051,10.8385,266.9613,356.5147,0.99090909,0.38419607,0.6522999999999999
1072,丈夫,"<entry id=""65533""><hwg><hw>丈夫</hw><pinyin>zhàng·fu</pinyin></hwg><def><ps>名</ps>男女两人结婚后，男子是女子的丈夫。</def>",11.7894736842105,4.837112859828,19.0,36.8421052631579,63.1578947368421,52.0,21.0,5.0,4.0,0.42,0.81,26.0,1.83,1.11,23.0,0.54,0.88,13.0,0.31,0.75,13.0,1.67,0.87,9.0,1.93,1.27,14.0,6115.0,182.28,3.7864,2216.0,35.5,3.3456,1.0,40.0,692.62075,357.615078594128,-0.510040733775666,1.02550241774884,2.4390243902439,2.0,7.0,6115.0,182.28,2216.0,3.0,1.0,12.0,1.0,6238.0,1.0,3.0,1.0,1.0,1.0,1.461538,0.706018,26.0,丈,夫,2.0,SG,SG,Picto,Picto,zhang4fu5,zhang4,fu5,ʈʂaŋ4fu5,ʈʂaŋ4,fu5,ʈʂ,u,5.0,3.0,2.0,4.0,5.0,69.4885,58.5728,290.7901,9374.0,11861.0,58885.0,182.5373,133.2906,507.8419,6115.0,6238.0,23767.0,32.14,36.1143,225.5491,3259.0,5623.0,35118.0,69.4885,316.8421,649.5256,12.0,61.0,80.2743,327.9837,7.0,3.0,4.0,2788.0,2843.0,2723.0,2314.0,2434.1,1991.65,0.0,23.0,11.0,2.35,1.0,1.4,一,大,47068.6864,16670.0889,26.0,29.0,1.0,3.0,150239.7672,177646.7803,109129.2476,25493.1801,62190.2001,25493.1801,321278.7324,321278.7324,192765.315,62190.2001,25493.1801,18804.0697,2113.9733,60500.3632,12.0,8.0,0.0,1.0,0.0,53.0,11.06,76.5901,0.0,194.9518,9.0,7.0,95.0,14.0,236.2936,503.447,0.0747,2.8821,5.7481,5.876,10.0051,10.8385,266.9613,356.5147,0.99090909,0.38419607,0.6522999999999999
1201,上任,"<entry id=""45098""><hwg><hw>上任<sup>1</sup></hw><pinyin>shàng//rèn</pinyin></hwg><def><ps>动</ps>指官吏就职：<ex>走马～。</ex></def>",12.2857142857143,2.98568010916872,21.0,47.6190476190476,52.3809523809524,38.0,19.0,5.0,4.0,0.89,0.7,27.0,2.05,1.17,22.0,0.79,0.8,14.0,1.0,0.58,13.0,2.6,0.55,5.0,1.88,1.27,17.0,89.0,2.65,1.9494,75.0,1.2,1.8751,1.0,39.0,744.591538461538,242.55004132125,-0.328167253647534,0.772840872449661,2.5,2.0,9.0,89.0,2.65,75.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,2.653846,1.198075,26.0,上,任,2.0,SG,LR,PicLog,PicPho,shang4ren4,shang4,ren4,ʂaŋ4ɻən4,ʂaŋ4,ɻən4,ʂ,n,6.0,3.0,3.0,4.0,4.0,1.4455,4716.721,580.0741,195.0,955136.0,117465.0,2.6567,5052.3718,733.953,89.0,236451.0,34349.0,1.0454,4615.8317,533.8215,106.0,718685.0,83116.0,1.4455,6415.1149,1663.7213,285.0,70.0,3394.0252,773.3432,9.0,3.0,6.0,1854.0,2983.0,840.0,2261.0,1981.7,2084.45,4.0,23.0,14.0,1.8,1.0,1.2,一,亻,47068.6864,51543.5654,26.0,164.0,1.0,2.0,151502.2004,186795.8636,116208.5372,27529.8295,89637.45,27529.8295,321278.7324,321278.7324,231562.6835,89637.45,27529.8295,29375.1446,1683.7064,60500.3632,285.0,71.0,1.0,0.0,2.0,0.0,6230.2076,818.7472,86.8569,0.0,1.0,7.0,12.0,59.0,183.4618,843.5285,4.6542,2.6951,5.3547,5.439,-2.3323,0.967,-2.1624,0.8211,0.00098328,0.00859826,0.4984
1201,上任,"<entry id=""45099""><hwg><hw>上任<sup>2</sup></hw><pinyin>shàngrèn</pinyin></hwg><def><ps>名</ps>称前一任的官吏。</def>",12.2857142857143,2.98568010916872,21.0,47.6190476190476,52.3809523809524,38.0,19.0,5.0,4.0,0.89,0.7,27.0,2.05,1.17,22.0,0.79,0.8,14.0,1.0,0.58,13.0,2.6,0.55,5.0,1.88,1.27,17.0,89.0,2.65,1.9494,75.0,1.2,1.8751,1.0,39.0,744.591538461538,242.55004132125,-0.328167253647534,0.772840872449661,2.5,2.0,9.0,89.0,2.65,75.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,2.653846,1.198075,26.0,上,任,2.0,SG,LR,PicLog,PicPho,shang4ren4,shang4,ren4,ʂaŋ4ɻən4,ʂaŋ4,ɻən4,ʂ,n,6.0,3.0,3.0,4.0,4.0,1.4455,4716.721,580.0741,195.0,955136.0,117465.0,2.6567,5052.3718,733.953,89.0,236451.0,34349.0,1.0454,4615.8317,533.8215,106.0,718685.0,83116.0,1.4455,6415.1149,1663.7213,285.0,70.0,3394.0252,773.3432,9.0,3.0,6.0,1854.0,2983.0,840.0,2261.0,1981.7,2084.45,4.0,23.0,14.0,1.8,1.0,1.2,一,亻,47068.6864,51543.5654,26.0,164.0,1.0,2.0,151502.2004,186795.8636,116208.5372,27529.8295,89637.45,27529.8295,321278.7324,321278.7324,231562.6835,89637.45,27529.8295,29375.1446,1683.7064,60500.3632,285.0,71.0,1.0,0.0,2.0,0.0,6230.2076,818.7472,86.8569,0.0,1.0,7.0,12.0,59.0,183.4618,843.5285,4.6542,2.6951,5.3547,5.439,-2.3323,0.967,-2.1624,0.8211,0.00098328,0.00859826,0.4984
1240,上天,"<entry id=""45131""><hwg><hw>上天<sup>1</sup></hw><pinyin>shàng//tiān</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 上升到天空：<ex>人造卫星～。</ex></def><def><num>❷</num> 迷信的人指到神佛仙人所在的地方。也用作婉辞，指人死亡。</def>",10.7222222222222,3.86242160484777,18.0,44.4444444444444,55.5555555555556,52.0,21.0,5.0,4.0,0.22,0.9,23.0,2.17,1.31,24.0,0.33,0.78,12.0,0.09,1.04,11.0,2.36,1.36,11.0,2.0,1.29,13.0,131.0,3.91,2.1173,125.0,2.0,2.0969,1.0,40.0,754.9545,264.309874869612,-0.298283539413277,0.672891913976602,0.0,2.0,7.0,131.0,3.91,125.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,3.52,1.122497,25.0,上,天,2.0,SG,UD,PicLog,PicLog,shang4tian1,shang4,tian1,ʂaŋ4tʰjɛn1,ʂaŋ4,tʰjɛn1,ʂ,n,7.0,3.0,4.0,4.0,1.0,17.2128,4716.721,5558.4494,2322.0,955136.0,1125586.0,3.9104,5052.3718,2714.8077,131.0,236451.0,127053.0,21.6075,4615.8317,6413.1856,2191.0,718685.0,998533.0,17.2128,6415.1149,7790.6597,285.0,294.0,3394.0252,4875.619,7.0,3.0,4.0,1854.0,2842.0,840.0,2195.0,1981.7,2055.3,2.0,23.0,7.0,2.15,1.0,1.65,一,大,47068.6864,16670.0889,26.0,29.0,1.0,3.0,150661.8617,186795.8636,123561.3603,42095.2706,89637.45,42095.2706,321278.7324,321278.7324,231562.6835,89637.45,42095.2706,27535.404,1877.4426,60500.3632,285.0,295.0,1.0,0.0,2.0,0.0,6214.4403,7722.9577,86.8569,0.0,1.0,1.0,12.0,15.0,183.4618,50.4893,4.6542,2.8293,5.3547,5.463,-1.3964,0.1337,-4.1744,0.3846,0.01170859,0.00482558,0.9952
1240,上天,"<entry id=""45132""><hwg><hw>上天<sup>2</sup></hw><pinyin>shàngtiān</pinyin></hwg><def><ps>名</ps>迷信的人指主宰自然和人类的天：<ex>～保佑。</ex></def>",10.7222222222222,3.86242160484777,18.0,44.4444444444444,55.5555555555556,52.0,21.0,5.0,4.0,0.22,0.9,23.0,2.17,1.31,24.0,0.33,0.78,12.0,0.09,1.04,11.0,2.36,1.36,11.0,2.0,1.29,13.0,131.0,3.91,2.1173,125.0,2.0,2.0969,1.0,40.0,754.9545,264.309874869612,-0.298283539413277,0.672891913976602,0.0,2.0,7.0,131.0,3.91,125.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,3.52,1.122497,25.0,上,天,2.0,SG,UD,PicLog,PicLog,shang4tian1,shang4,tian1,ʂaŋ4tʰjɛn1,ʂaŋ4,tʰjɛn1,ʂ,n,7.0,3.0,4.0,4.0,1.0,17.2128,4716.721,5558.4494,2322.0,955136.0,1125586.0,3.9104,5052.3718,2714.8077,131.0,236451.0,127053.0,21.6075,4615.8317,6413.1856,2191.0,718685.0,998533.0,17.2128,6415.1149,7790.6597,285.0,294.0,3394.0252,4875.619,7.0,3.0,4.0,1854.0,2842.0,840.0,2195.0,1981.7,2055.3,2.0,23.0,7.0,2.15,1.0,1.65,一,大,47068.6864,16670.0889,26.0,29.0,1.0,3.0,150661.8617,186795.8636,123561.3603,42095.2706,89637.45,42095.2706,321278.7324,321278.7324,231562.6835,89637.45,42095.2706,27535.404,1877.4426,60500.3632,285.0,295.0,1.0,0.0,2.0,0.0,6214.4403,7722.9577,86.8569,0.0,1.0,1.0,12.0,15.0,183.4618,50.4893,4.6542,2.8293,5.3547,5.463,-1.3964,0.1337,-4.1744,0.3846,0.01170859,0.00482558,0.9952
1269,上手,"<entry id=""45113""><hwg><hw>上手<sup>1</sup></hw><pinyin>shàngshǒu</pinyin></hwg><def><num>❶</num> （～<small>儿</small>）<ps>名</ps>上家。</def><def><num>❷</num> 同“<a href=""entry://上首"">上首</a>”。</def>",13.6666666666667,4.97326184041554,21.0,57.1428571428571,42.8571428571429,44.0,21.0,5.0,4.0,0.48,0.65,25.0,2.04,1.02,23.0,0.5,0.55,6.0,0.47,0.7,19.0,1.83,0.94,12.0,2.27,1.1,11.0,59.0,1.76,1.7709,51.0,0.82,1.7076,1.0,39.0,821.573846153846,279.816472490315,-0.0148855027958701,0.86005464885413,4.8780487804878,2.0,7.0,59.0,1.76,51.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,3.416667,1.100066,24.0,上,手,2.0,SG,SG,PicLog,Picto,shang4shou3,shang4,shou3,ʂaŋ4ʂou3,ʂaŋ4,ʂou3,ʂ,u,6.0,3.0,3.0,4.0,3.0,4.9741,4716.721,1853.4568,671.0,955136.0,375325.0,1.7612,5052.3718,1615.5556,59.0,236451.0,75608.0,6.0355,4615.8317,1924.9647,612.0,718685.0,299717.0,5.0334,6415.1149,3014.8703,285.0,297.0,3394.0252,2004.4403,7.0,3.0,4.0,1854.0,2938.0,840.0,1750.0,1981.7,2159.1,3.0,23.0,15.0,1.85,1.0,1.15,一,手,47068.6864,3662.2469,26.0,15.0,1.0,4.0,164566.7692,186795.8636,142337.6748,89637.45,89637.45,89637.45,321278.7324,321278.7324,192765.315,89637.45,89637.45,28659.3462,3803.6694,62543.4099,285.0,299.0,1.0,0.0,2.0,0.0,6226.679,2475.4411,86.8569,0.0,1.0,2.0,12.0,127.0,183.4618,534.4552,4.6542,5.4691,5.3547,4.2928,-1.889,0.464,-3.1333,0.7204,0.00338349,0.00606713,0.8583
1269,上手,"<entry id=""45114""><hwg><hw>上手<sup>2</sup></hw><pinyin>shàng//shǒu</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 〈方〉动手：<ex>这事我一个人干就行了，你们就不用～了。</ex></def><def><num>❷</num> 开始：<ex>今天这场球一～就打得很顺利。</ex></def>",13.6666666666667,4.97326184041554,21.0,57.1428571428571,42.8571428571429,44.0,21.0,5.0,4.0,0.48,0.65,25.0,2.04,1.02,23.0,0.5,0.55,6.0,0.47,0.7,19.0,1.83,0.94,12.0,2.27,1.1,11.0,59.0,1.76,1.7709,51.0,0.82,1.7076,1.0,39.0,821.573846153846,279.816472490315,-0.0148855027958701,0.86005464885413,4.8780487804878,2.0,7.0,59.0,1.76,51.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,3.416667,1.100066,24.0,上,手,2.0,SG,SG,PicLog,Picto,shang4shou3,shang4,shou3,ʂaŋ4ʂou3,ʂaŋ4,ʂou3,ʂ,u,6.0,3.0,3.0,4.0,3.0,4.9741,4716.721,1853.4568,671.0,955136.0,375325.0,1.7612,5052.3718,1615.5556,59.0,236451.0,75608.0,6.0355,4615.8317,1924.9647,612.0,718685.0,299717.0,5.0334,6415.1149,3014.8703,285.0,297.0,3394.0252,2004.4403,7.0,3.0,4.0,1854.0,2938.0,840.0,1750.0,1981.7,2159.1,3.0,23.0,15.0,1.85,1.0,1.15,一,手,47068.6864,3662.2469,26.0,15.0,1.0,4.0,164566.7692,186795.8636,142337.6748,89637.45,89637.45,89637.45,321278.7324,321278.7324,192765.315,89637.45,89637.45,28659.3462,3803.6694,62543.4099,285.0,299.0,1.0,0.0,2.0,0.0,6226.679,2475.4411,86.8569,0.0,1.0,2.0,12.0,127.0,183.4618,534.4552,4.6542,5.4691,5.3547,4.2928,-1.889,0.464,-3.1333,0.7204,0.00338349,0.00606713,0.8583
1271,上报,"<entry id=""45003""><hwg><hw>上报<sup>1</sup></hw><pinyin>shàng//bào</pinyin></hwg><def><ps>动</ps>刊登在报纸上：<ex>老张的模范事迹上了报了。</ex></def>",13.2105263157895,4.67355381515586,19.0,42.1052631578947,57.8947368421053,49.0,19.0,5.0,4.0,0.12,1.05,25.0,2.24,1.2,25.0,0.25,0.62,12.0,0.0,1.35,13.0,2.55,1.04,11.0,2.0,1.3,14.0,148.0,4.41,2.1703,117.0,1.87,2.0682,1.0,42.0,831.802142857143,301.199147154362,0.119285896296397,1.30142352086118,0.0,2.0,10.0,148.0,4.41,117.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,2.703704,1.137298,27.0,上,报,2.0,SG,LR,PicLog,PicSyn,shang4bao4,shang4,bao4,ʂaŋ4pau4,ʂaŋ4,pau4,ʂ,u,6.0,3.0,3.0,4.0,4.0,1.7569,4716.721,386.321,237.0,955136.0,78230.0,4.4179,5052.3718,468.0342,148.0,236451.0,21904.0,0.8777,4615.8317,361.7598,89.0,718685.0,56326.0,1.7569,6415.1149,1335.8117,285.0,139.0,3394.0252,485.0778,10.0,3.0,7.0,1854.0,4081.0,840.0,3426.0,1981.7,2387.85,2.0,23.0,22.0,1.85,1.0,1.0,一,扌,47068.6864,19245.0025,26.0,233.0,1.0,3.0,189718.0813,186795.8636,192640.299,63876.8495,89637.45,63876.8495,321278.7324,321278.7324,321278.7324,89637.45,63876.8495,32753.2765,2477.6205,70491.8829,285.0,139.0,1.0,0.0,2.0,0.0,6229.8962,521.6383,86.8569,0.0,1.0,7.0,12.0,110.0,183.4618,812.4166,4.6542,4.4052,5.3547,3.9018,-1.3754,1.0725,-1.312,1.0082,0.00119506,0.00925022,0.3869
1271,上报,"<entry id=""45004""><hwg><hw>上报<sup>2</sup></hw><pinyin>shàngbào</pinyin></hwg><def><ps>动</ps>向上级报告：<ex>年终决算要及时填表～。</ex></def>",13.2105263157895,4.67355381515586,19.0,42.1052631578947,57.8947368421053,49.0,19.0,5.0,4.0,0.12,1.05,25.0,2.24,1.2,25.0,0.25,0.62,12.0,0.0,1.35,13.0,2.55,1.04,11.0,2.0,1.3,14.0,148.0,4.41,2.1703,117.0,1.87,2.0682,1.0,42.0,831.802142857143,301.199147154362,0.119285896296397,1.30142352086118,0.0,2.0,10.0,148.0,4.41,117.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,2.703704,1.137298,27.0,上,报,2.0,SG,LR,PicLog,PicSyn,shang4bao4,shang4,bao4,ʂaŋ4pau4,ʂaŋ4,pau4,ʂ,u,6.0,3.0,3.0,4.0,4.0,1.7569,4716.721,386.321,237.0,955136.0,78230.0,4.4179,5052.3718,468.0342,148.0,236451.0,21904.0,0.8777,4615.8317,361.7598,89.0,718685.0,56326.0,1.7569,6415.1149,1335.8117,285.0,139.0,3394.0252,485.0778,10.0,3.0,7.0,1854.0,4081.0,840.0,3426.0,1981.7,2387.85,2.0,23.0,22.0,1.85,1.0,1.0,一,扌,47068.6864,19245.0025,26.0,233.0,1.0,3.0,189718.0813,186795.8636,192640.299,63876.8495,89637.45,63876.8495,321278.7324,321278.7324,321278.7324,89637.45,63876.8495,32753.2765,2477.6205,70491.8829,285.0,139.0,1.0,0.0,2.0,0.0,6229.8962,521.6383,86.8569,0.0,1.0,7.0,12.0,110.0,183.4618,812.4166,4.6542,4.4052,5.3547,3.9018,-1.3754,1.0725,-1.312,1.0082,0.00119506,0.00925022,0.3869
