order,headword,definition,WordAoA_AoA Mean,WordAoA_AoA SD,WordAoA_No. of Raters,WordAoA_Male %,WordAoA_Female %,WordAoA_Age Max,WordAoA_Age Min,WordAoA_Education Max,WordAoA_Education Min,ValenceArousal_Valence_Mean,ValenceArousal_Valence_SD,ValenceArousal_Valence_N,ValenceArousal_Arousal_Mean,ValenceArousal_Arousal_SD,ValenceArousal_Arousal_N,ValenceArousal_Men_Valence_Mean,ValenceArousal_Men_Valence_SD,ValenceArousal_Men_Valence_N,ValenceArousal_Women_Valence_Mean,ValenceArousal_Women_Valence_SD,ValenceArousal_Women_Valence_N,ValenceArousal_Men_Arousal_Mean,ValenceArousal_Men_Arousal_SD,ValenceArousal_Men_Arousal_N,ValenceArousal_Women_Arousal_Mean,ValenceArousal_Women_Arousal_SD,ValenceArousal_Women_Arousal_N,SUBTLEXWord_WCount,SUBTLEXWord_W/million,SUBTLEXWord_logW,SUBTLEXWord_W-CD,SUBTLEXWord_W-CD%,SUBTLEXWord_logW-CD,MELD_lexicality,MELD_N,MELD_RT,MELD_RTSD,MELD_zRT,MELD_zRTSD,MELD_ERR,MELD_length,MELD_tstroke,MELD_wfreq,MELD_wfreq/mil,MELD_cd,MELD_C1stroke,MELD_C2stroke,MELD_C1nwf,MELD_C2nwf,MELD_C1cf,MELD_C2cf,MELD_C1nom,MELD_C2nom,MELD_C1nop,MELD_C2nop,Concreteness_Mean of Valid Ratings,Concreteness_SD of Valid Ratings,Concreteness_No.of Valid Ratings,CLD_C1,CLD_C2,CLD_Length,CLD_C1Structure,CLD_C2Structure,CLD_C1Type,CLD_C2Type,CLD_Pinyin,CLD_C1Pinyin,CLD_C2Pinyin,CLD_IPA,CLD_C1IPA,CLD_C2IPA,CLD_InitialPhoneme,CLD_FinalPhoneme,CLD_Phonemes,CLD_C1Phonemes,CLD_C2Phonemes,CLD_C1Tone,CLD_C2Tone,CLD_Frequency,CLD_C1Frequency,CLD_C2Frequency,CLD_FrequencyRaw,CLD_C1FrequencyRaw,CLD_C2FrequencyRaw,CLD_FrequencySUBTL,CLD_C1FrequencySUBTL,CLD_C2FrequencySUBTL,CLD_FrequencyRawSUBTL,CLD_C1FrequencyRawSUBTL,CLD_C2FrequencyRawSUBTL,CLD_FrequencyWeibo,CLD_C1FrequencyWeibo,CLD_C2FrequencyWeibo,CLD_FrequencyRawWeibo,CLD_C1FrequencyRawWeibo,CLD_C2FrequencyRawWeibo,CLD_PhonologicalFrequency,CLD_C1PhonologicalFrequency,CLD_C2PhonologicalFrequency,CLD_C1FamilySize,CLD_C2FamilySize,CLD_C1FamilyFrequency,CLD_C2FamilyFrequency,CLD_Strokes,CLD_C1Strokes,CLD_C2Strokes,CLD_C1Pixels,CLD_C2Pixels,CLD_C1PictureSize,CLD_C2PictureSize,CLD_C1OLDPixels,CLD_C2OLDPixels,CLD_PhonologicalN,CLD_C1PhonologicalN,CLD_C2PhonologicalN,CLD_PLD,CLD_C1PLD,CLD_C2PLD,CLD_C1SR,CLD_C2SR,CLD_C1SRFrequency,CLD_C2SRFrequency,CLD_C1SRFamilySize,CLD_C2SRFamilySize,CLD_C1SRStrokes,CLD_C2SRStrokes,CLD_MeanPhonemeFrequency,CLD_C1MeanPhonemeFrequency,CLD_C2MeanPhonemeFrequency,CLD_MinPhonemeFrequency,CLD_C1MinPhonemeFrequency,CLD_C2MinPhonemeFrequency,CLD_MaxPhonemeFrequency,CLD_C1MaxPhonemeFrequency,CLD_C2MaxPhonemeFrequency,CLD_C1InitialPhonemeFrequency,CLD_C2InitialPhonemeFrequency,CLD_MeanDiphoneFrequency,CLD_MinDiphoneFrequency,CLD_MaxDiphoneFrequency,CLD_C1Friends,CLD_C2Friends,CLD_C1HomographTypes,CLD_C2HomographTypes,CLD_C1HomographTokens,CLD_C2HomographTokens,CLD_C1FriendsFrequency,CLD_C2FriendsFrequency,CLD_C1HomographsFrequency,CLD_C2HomographsFrequency,CLD_C1HomophoneTypes,CLD_C2HomophoneTypes,CLD_C1HomophoneTokens,CLD_C2HomophoneTokens,CLD_C1HomophonesFrequency,CLD_C2HomophonesFrequency,CLD_C1Entropy,CLD_C1BackwardEntropy,CLD_C1RE,CLD_C2RE,CLD_PMI,CLD_PSPMI,CLD_TScore,CLD_PSTScore,CLD_C1ConditionalProbability,CLD_C1BackwardConditionalProbability,CLD_EntropyCharacterFrequencies
817,一样,"<entry id=""60825""><hwg><hw>一样</hw><pinyin>yīyàng</pinyin></hwg><def><ps>形</ps>同样；没有差别：<ex>哥<small>儿</small>俩相貌～，脾气也～｜他们两个人打枪打得～准。</ex></def>",8.9375,5.09206899665221,16.0,31.25,68.75,42.0,25.0,5.0,3.0,0.0,0.55,27.0,1.35,1.15,23.0,-0.18,0.6,11.0,0.13,0.5,16.0,1.3,1.49,10.0,1.38,0.87,13.0,28861.0,860.33,4.4603,5906.0,94.6,3.7713,1.0,40.0,700.4495,296.422703600787,-0.48406287759491,0.820916916235381,0.0,2.0,11.0,28861.0,860.33,5906.0,1.0,1.0,801.0,1.0,604056.0,1.0,11.0,1.0,1.0,1.0,3.434783,1.199473,23.0,一,样,2.0,SG,LR,PicLog,PicPho,yi1yang4,yi1,yang4,i1jaŋ4,i1,jaŋ4,i,ŋ,4.0,1.0,3.0,1.0,4.0,742.3795,14863.7877,2035.042,100147.0,3009917.0,412096.0,861.5224,12907.1795,3448.9103,28861.0,604056.0,161409.0,703.0178,15451.9011,1610.0642,71286.0,2405861.0,250687.0,742.3795,22547.3981,2977.6649,432.0,68.0,9724.3662,2919.0511,11.0,1.0,10.0,957.0,3659.0,649.0,3010.0,2001.35,2155.9,5.0,9.0,22.0,1.7,1.0,1.0,一,木,47068.6864,23327.0765,26.0,210.0,1.0,4.0,232496.1323,283815.5226,215389.6689,149471.4085,283815.5226,149471.4085,321278.7324,283815.5226,321278.7324,283815.5226,175418.8658,48850.2347,4835.1594,81215.1816,448.0,69.0,1.0,0.0,2.0,0.0,20604.7368,2228.851,0.6375,0.0,9.0,2.0,195.0,6.0,1200.2817,6.4344,3.6984,2.1408,4.6165,4.4954,3.3881,3.6673,79.7382,89.4744,0.09321931,0.3027299399999999,0.5305999999999998
1039,万幸,"<entry id=""53139""><hwg><hw>万幸</hw><pinyin>wànxìng</pinyin></hwg><def><ps>形</ps>非常幸运（多指免于灾难）：<ex>这场火灾损失点<small>儿</small>东西是小事，人没有受伤，总算～。</ex></def>",11.047619047619,4.05556642746966,21.0,38.0952380952381,61.9047619047619,44.0,18.0,5.0,3.0,1.36,0.91,25.0,2.64,0.86,25.0,1.25,0.93,16.0,1.56,0.88,9.0,3.0,0.0,8.0,2.47,1.01,17.0,4.0,0.12,0.6021,4.0,0.06,0.6021,1.0,39.0,725.734102564103,325.759136332012,-0.411916837904664,0.815150437646247,0.0,2.0,11.0,4.0,0.12,4.0,3.0,1.0,320.0,1.0,18335.0,1.0,5.0,1.0,2.0,1.0,3.961538,1.03849,26.0,万,幸,2.0,SG,UD,Other,PicSyn,wan4xing4,wan4,xing4,wan4ɕiŋ4,wan4,ɕiŋ4,w,ŋ,6.0,3.0,3.0,4.0,4.0,1.5938,576.3111,746.9235,215.0,116703.0,151252.0,0.1194,391.7735,280.1068,4.0,18335.0,13109.0,2.0809,631.7791,887.2383,211.0,98368.0,138143.0,1.5938,697.954,2188.6583,92.0,23.0,324.0771,1067.6353,11.0,3.0,8.0,2677.0,3189.0,2257.0,1797.0,2332.0,2343.05,2.0,24.0,11.0,1.85,1.0,1.35,一,干,47068.6864,7369.1407,26.0,5.0,1.0,3.0,202928.678,238369.444,167487.912,69176.805,162266.9162,69176.805,321278.7324,321278.7324,283815.5226,162266.9162,69176.805,34302.8732,6342.0311,69519.2809,94.0,23.0,0.0,0.0,0.0,0.0,681.6086,1076.8643,0.0,0.0,2.0,4.0,12.0,405.0,14.7517,1110.2001,3.5929,2.0635,3.2727,4.086,1.3535,6.4356,1.2283,11.6096,0.02074489,0.01989635,0.988
1050,万物,"<entry id=""53137""><hwg><hw>万物</hw><pinyin>wànwù</pinyin></hwg><def><ps>名</ps>宇宙间的一切事物。</def>",10.952380952381,3.90481997633937,21.0,23.8095238095238,76.1904761904762,36.0,22.0,5.0,4.0,0.48,1.2,23.0,1.82,1.12,28.0,0.38,1.33,13.0,0.6,1.07,10.0,1.79,1.19,14.0,1.86,1.1,14.0,185.0,5.51,2.2672,150.0,2.4,2.1761,1.0,39.0,707.484615384616,217.856341231968,-0.479425694979986,0.526985760193102,2.5,2.0,11.0,185.0,5.51,150.0,3.0,1.0,320.0,1.0,18335.0,1.0,5.0,1.0,2.0,1.0,3.73913,1.136877,23.0,万,物,2.0,SG,LR,Other,PicPho,wan4wu4,wan4,wu4,wan4u4,wan4,u4,w,u,4.0,3.0,1.0,4.0,4.0,12.3795,576.3111,651.5556,1670.0,116703.0,131940.0,5.5224,391.7735,642.7137,185.0,18335.0,30079.0,14.645,631.7791,654.2132,1485.0,98368.0,101861.0,12.3795,697.954,1732.6761,92.0,179.0,324.0771,854.4255,11.0,3.0,8.0,2677.0,4146.0,2257.0,4353.0,2332.0,2860.5,4.0,24.0,7.0,1.8,1.0,1.0,一,牜,47068.6864,687.0074,26.0,8.0,1.0,4.0,226968.4118,238369.444,192765.315,162266.9162,162266.9162,192765.315,321278.7324,321278.7324,192765.315,162266.9162,192765.315,35748.4285,872.4759,69519.2809,94.0,178.0,0.0,1.0,0.0,1.0,670.8228,863.4173,0.0,9.9036,2.0,13.0,12.0,175.0,14.7517,856.8792,3.5929,3.8204,3.2727,6.1344,4.752,6.3512,17.5862,31.4017,0.1611346999999999,0.01876636,0.9973
1075,丈量,"<entry id=""65534""><hwg><hw>丈量</hw><pinyin>zhàngliáng</pinyin></hwg><def><ps>动</ps>用步弓、皮尺等量土地面积或距离：<ex>～地亩。</ex></def>",12.8846153846154,3.73445495971686,26.0,61.5384615384615,38.4615384615385,50.0,19.0,5.0,4.0,0.38,0.67,21.0,1.84,1.11,25.0,0.3,0.67,10.0,0.45,0.69,11.0,1.73,1.19,11.0,1.93,1.07,14.0,3.0,0.09,0.4771,3.0,0.05,0.4771,1.0,36.0,871.620555555555,230.672546647462,0.188317118705186,0.853123526996954,12.1951219512195,2.0,15.0,3.0,0.09,3.0,3.0,1.0,12.0,1.0,6238.0,1.0,3.0,1.0,1.0,1.0,2.458333,0.977093,24.0,丈,量,2.0,SG,UD,Picto,PicSyn,zhang4liang2,zhang4,liang2,ʈʂaŋ4ljaŋ2,ʈʂaŋ4,ljaŋ2,ʈʂ,ŋ,7.0,3.0,4.0,4.0,2.0,0.6375,58.5728,446.3852,86.0,11861.0,90393.0,0.0896,133.2906,277.2009,3.0,6238.0,12973.0,0.8185,36.1143,497.2383,83.0,5623.0,77420.0,0.6375,316.8421,288.6731,12.0,141.0,80.2743,613.106,15.0,3.0,12.0,2788.0,4291.0,2723.0,1633.0,2434.1,2905.0,0.0,23.0,8.0,2.05,1.0,1.5,一,里,47068.6864,4074.8642,26.0,4.0,1.0,7.0,178643.2236,177646.7803,179390.556,62190.2001,62190.2001,71393.2172,321278.7324,321278.7324,321278.7324,62190.2001,71393.2172,36872.0806,3190.1927,81215.1816,12.0,23.0,0.0,3.0,0.0,118.0,79.911,17.9318,0.0,608.384,9.0,6.0,95.0,122.0,236.2936,270.1038,0.0747,4.4725,5.7481,5.6255,2.3035,2.3655,1.4146,1.4608,0.00909091,0.00108124,0.5177
1112,三国,"<entry id=""44161""><hwg><hw>三国</hw><pinyin>Sān Guó</pinyin></hwg><def><ps>名</ps>魏、蜀、吴三国并立的时期（魏，公元220—265；蜀，公元221—263；吴，公元222—280）。参看“<a href=""entry://魏"">魏</a>”、“<a href=""entry://蜀"">蜀</a>”、“<a href=""entry://吴"">吴</a>”。</def>",11.8636363636364,3.7707578440699,22.0,63.6363636363636,36.3636363636364,50.0,22.0,5.0,3.0,0.24,0.44,25.0,1.97,1.05,29.0,0.25,0.46,8.0,0.24,0.44,17.0,2.0,0.85,12.0,1.94,1.2,17.0,2.0,0.06,0.301,2.0,0.03,0.301,1.0,41.0,692.723658536585,206.306382169288,-0.450099771794997,0.588331611455911,2.38095238095238,2.0,11.0,2.0,0.06,2.0,3.0,1.0,314.0,1.0,26275.0,1.0,2.0,1.0,1.0,1.0,2.5,1.067708,26.0,三,国,2.0,SG,CIR,PicLog,PicSyn,san1guo2,san1,guo2,san1kwo2,san1,kwo2,s,o,6.0,3.0,3.0,1.0,2.0,0.0593,1715.037,1661.2593,8.0,347295.0,336405.0,0.0597,561.4316,869.9145,2.0,26275.0,40712.0,0.0592,2061.7855,1899.1201,6.0,321020.0,295693.0,0.0593,2108.169,2243.8992,110.0,195.0,271.5271,1380.0741,11.0,3.0,8.0,2138.0,3840.0,933.0,1661.0,1977.55,2163.9,1.0,23.0,16.0,2.0,1.0,1.2,一,囗,47068.6864,7478.8593,26.0,24.0,1.0,3.0,154964.79,189564.7443,120364.8357,15852.8169,15852.8169,54217.3314,321278.7324,321278.7324,162266.9162,15852.8169,54217.3314,34704.3425,1512.0904,81825.6412,110.0,196.0,0.0,0.0,0.0,0.0,2107.4722,2241.0452,0.0,0.0,1.0,2.0,2.0,2.0,0.6375,2.7947,2.9711,3.1472,3.7047,5.9062,-3.961,-1.6712,-0.8992999999999999,-0.2980999999999999,0.00088958,6.263e-05,0.9998
1197,上书,"<entry id=""45116""><hwg><hw>上书</hw><pinyin>shàng//shū</pinyin></hwg><def><ps>动</ps>给地位高的人写信（多陈述政治见解）：<ex>～中央。</ex></def>",13.8421052631579,5.29426479939206,19.0,42.1052631578947,57.8947368421053,36.0,20.0,5.0,3.0,0.56,0.82,25.0,1.43,0.98,21.0,0.6,0.7,10.0,0.53,0.92,15.0,1.67,1.15,12.0,1.11,0.6,9.0,6.0,0.18,0.7782,6.0,0.1,0.7782,1.0,37.0,900.398648648649,405.182622119419,0.26883016696602,1.48610145039081,9.75609756097561,2.0,7.0,6.0,0.18,6.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,2.782609,1.277658,23.0,上,书,2.0,SG,SG,PicLog,Other,shang4shu1,shang4,shu1,ʂaŋ4ʂu1,ʂaŋ4,ʂu1,ʂ,u,5.0,3.0,2.0,4.0,1.0,0.6672,4716.721,358.4346,90.0,955136.0,72583.0,0.1791,5052.3718,285.4701,6.0,236451.0,13360.0,0.8284,4615.8317,380.3661,84.0,718685.0,59223.0,0.6672,6415.1149,1084.381,285.0,152.0,3394.0252,295.4114,7.0,3.0,4.0,1854.0,2968.0,840.0,2180.0,1981.7,2796.5,3.0,23.0,22.0,1.85,1.0,1.0,一,乙,47068.6864,5340.721,26.0,10.0,1.0,1.0,168558.0712,186795.8636,141201.3825,89637.45,89637.45,89637.45,321278.7324,321278.7324,192765.315,89637.45,89637.45,19584.5385,2965.1668,60500.3632,285.0,153.0,1.0,0.0,2.0,0.0,6230.9859,465.5226,86.8569,0.0,1.0,13.0,12.0,115.0,183.4618,618.1913,4.6542,3.0463,5.3547,4.667,-1.8378,0.6474999999999999,-1.1123,0.3696999999999999,0.00045382,0.00689022,0.3683
1224,上古,"<entry id=""45049""><hwg><hw>上古</hw><pinyin>shànggǔ</pinyin></hwg><def><ps>名</ps>较早的古代，在我国历史分期上多指夏商周秦汉这个时期。</def>",11.9,6.17209339220538,20.0,45.0,55.0,53.0,19.0,4.0,3.0,0.58,0.7,26.0,1.53,1.28,17.0,0.55,0.69,11.0,0.6,0.74,15.0,1.29,0.76,7.0,1.7,1.57,10.0,2.0,0.06,0.301,2.0,0.03,0.301,1.0,31.0,909.418387096775,285.788256512833,0.278768655687557,1.02475794453643,22.5,2.0,8.0,2.0,0.06,2.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,3.740741,1.227649,27.0,上,古,2.0,SG,UD,PicLog,PicSyn,shang4gu3,shang4,gu3,ʂaŋ4ku3,ʂaŋ4,ku3,ʂ,u,5.0,3.0,2.0,4.0,3.0,0.6004,4716.721,184.1975,81.0,955136.0,37300.0,0.0597,5052.3718,130.641,2.0,236451.0,6114.0,0.7791,4615.8317,200.2954,79.0,718685.0,31186.0,0.6004,6415.1149,630.0074,285.0,84.0,3394.0252,152.8243,8.0,3.0,5.0,1854.0,2865.0,840.0,1220.0,1981.7,2216.1,0.0,23.0,22.0,1.95,1.0,1.0,一,口,47068.6864,50016.563,26.0,297.0,1.0,3.0,161474.0474,186795.8636,123491.3232,54217.3314,89637.45,54217.3314,321278.7324,321278.7324,192765.315,89637.45,54217.3314,19301.0897,1845.0111,60500.3632,285.0,85.0,1.0,0.0,2.0,0.0,6231.0526,219.4366,86.8569,0.0,1.0,6.0,12.0,220.0,183.4618,409.9703,4.6542,2.5552,5.3547,2.8257,-1.1558,1.9531,-0.6376,1.131,0.00040844,0.01703112,0.2311
1227,上司,"<entry id=""45122""><hwg><hw>上司</hw><pinyin>shàng·si</pinyin></hwg><def><ps>名</ps>上级领导：<ex>顶头～。</ex></def>",15.6111111111111,3.46645926981423,18.0,50.0,50.0,39.0,20.0,5.0,3.0,0.38,0.85,26.0,2.96,0.84,25.0,0.36,1.03,11.0,0.4,0.74,15.0,2.5,0.9,12.0,3.38,0.51,13.0,661.0,19.7,2.8202,432.0,6.92,2.6355,1.0,39.0,751.651282051282,314.759305653831,-0.330922036847887,0.816269391586808,0.0,2.0,8.0,661.0,19.7,432.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,1.888889,0.918937,36.0,上,司,2.0,SG,HCI,PicLog,PicSyn,shang4si1,shang4,si1,ʂaŋ4sɹ1,ʂaŋ4,sɹ1,ʂ,ɹ,5.0,3.0,2.0,4.0,1.0,14.9073,4716.721,281.7086,2011.0,955136.0,57046.0,19.7313,5052.3718,337.9915,661.0,236451.0,15818.0,13.3136,4615.8317,264.7913,1350.0,718685.0,41228.0,14.9073,6415.1149,1094.5219,285.0,27.0,3394.0252,370.5486,8.0,3.0,5.0,1854.0,3157.0,840.0,1389.0,1981.7,2441.1,1.0,23.0,10.0,2.1,1.0,1.5,一,口,47068.6864,50016.563,26.0,297.0,1.0,3.0,131506.4047,186795.8636,48572.2165,15852.8169,89637.45,15852.8169,321278.7324,321278.7324,81291.616,89637.45,15852.8169,19004.9926,888.5767,60500.3632,285.0,26.0,1.0,1.0,2.0,1.0,6216.7457,362.5574,86.8569,5.1297,1.0,10.0,12.0,199.0,183.4618,717.0571,4.6542,0.5176,5.3547,6.7931,2.1142,3.5342,6.178,12.0074,0.01014038,0.05095783,0.3128
1246,上宾,"<entry id=""45009""><hwg><hw>上宾</hw><pinyin>shàngbīn</pinyin></hwg><def><ps>名</ps>尊贵的客人：<ex>待为～。</ex></def>",13.3333333333333,4.05380479714223,21.0,42.8571428571429,57.1428571428571,45.0,24.0,5.0,4.0,1.05,1.0,20.0,2.07,1.3,28.0,0.57,0.98,7.0,1.31,0.95,13.0,2.0,1.12,9.0,2.11,1.41,19.0,7.0,0.21,0.8451,7.0,0.11,0.8451,1.0,24.0,1011.91458333333,404.366438346073,0.534831796983471,1.21208246445246,41.4634146341463,2.0,13.0,7.0,0.21,7.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,2.458333,0.832971,24.0,上,宾,2.0,SG,UD,PicLog,PicPho,shang4bin1,shang4,bin1,ʂaŋ4pin1,ʂaŋ4,pin1,ʂ,n,6.0,3.0,3.0,4.0,1.0,0.089,4716.721,47.5605,12.0,955136.0,9631.0,0.209,5052.3718,54.188,7.0,236451.0,2536.0,0.0493,4615.8317,45.5684,5.0,718685.0,7095.0,0.089,6415.1149,108.851,285.0,26.0,3394.0252,40.0,13.0,3.0,10.0,1854.0,3549.0,840.0,2406.0,1981.7,2385.95,2.0,23.0,9.0,1.9,1.0,1.45,一,宀,47068.6864,14193.9605,26.0,51.0,1.0,3.0,189940.4411,186795.8636,193085.0185,63876.8495,89637.45,63876.8495,321278.7324,321278.7324,283815.5226,89637.45,63876.8495,21240.8866,2477.6205,60500.3632,285.0,26.0,1.0,0.0,2.0,0.0,6231.5641,44.381,86.8569,0.0,1.0,6.0,12.0,24.0,183.4618,64.381,4.6542,2.1481,5.3547,2.7417,-2.0636,-0.1986999999999999,-0.4638999999999999,-0.0411,6.051e-05,0.00383264,0.0807
1292,上演,"<entry id=""45160""><hwg><hw>上演</hw><pinyin>shàngyǎn</pinyin></hwg><def><ps>动</ps>（戏剧、舞蹈等）演出：<ex>这个月～了三台新戏。</ex></def>",11.1904761904762,2.3794757325732,21.0,47.6190476190476,52.3809523809524,48.0,17.0,5.0,2.0,0.0,0.73,31.0,1.89,1.2,19.0,0.1,0.88,10.0,-0.05,0.67,21.0,2.13,1.36,8.0,1.73,1.1,11.0,403.0,12.01,2.6053,337.0,5.4,2.5276,1.0,39.0,713.433333333333,339.084265666821,-0.512319310697603,0.776984609618084,2.5,2.0,17.0,403.0,12.01,337.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,3.36,1.150362,25.0,上,演,2.0,SG,LR,PicLog,PicPho,shang4yan3,shang4,yan3,ʂaŋ4jan3,ʂaŋ4,37622,ʂ,n,6.0,3.0,3.0,4.0,3.0,16.8125,4716.721,345.8963,2268.0,955136.0,70044.0,12.0299,5052.3718,499.4231,403.0,236451.0,23373.0,18.3925,4615.8317,299.7495,1865.0,718685.0,46671.0,16.8125,6415.1149,1387.5019,285.0,69.0,3394.0252,408.4136,17.0,3.0,14.0,1854.0,3746.0,840.0,3366.0,1981.7,2483.25,1.0,23.0,24.0,1.95,1.0,1.0,一,氵,47068.6864,19088.7556,26.0,238.0,1.0,3.0,214774.6454,186795.8636,242753.4272,89637.45,89637.45,175418.8658,321278.7324,321278.7324,321278.7324,89637.45,175418.8658,45007.2661,2732.55,81215.1816,285.0,69.0,1.0,0.0,2.0,0.0,6214.8406,437.828,86.8569,0.0,1.0,8.0,12.0,187.0,183.4618,932.8614,4.6542,2.0561,5.3547,5.0787,2.3066,4.4691,7.2763,18.4255,0.01143629,0.0974185,0.3595999999999999
