order,headword,definition,WordAoA_AoA Mean,WordAoA_AoA SD,WordAoA_No. of Raters,WordAoA_Male %,WordAoA_Female %,WordAoA_Age Max,WordAoA_Age Min,WordAoA_Education Max,WordAoA_Education Min,ValenceArousal_Valence_Mean,ValenceArousal_Valence_SD,ValenceArousal_Valence_N,ValenceArousal_Arousal_Mean,ValenceArousal_Arousal_SD,ValenceArousal_Arousal_N,ValenceArousal_Men_Valence_Mean,ValenceArousal_Men_Valence_SD,ValenceArousal_Men_Valence_N,ValenceArousal_Women_Valence_Mean,ValenceArousal_Women_Valence_SD,ValenceArousal_Women_Valence_N,ValenceArousal_Men_Arousal_Mean,ValenceArousal_Men_Arousal_SD,ValenceArousal_Men_Arousal_N,ValenceArousal_Women_Arousal_Mean,ValenceArousal_Women_Arousal_SD,ValenceArousal_Women_Arousal_N,SUBTLEXWord_WCount,SUBTLEXWord_W/million,SUBTLEXWord_logW,SUBTLEXWord_W-CD,SUBTLEXWord_W-CD%,SUBTLEXWord_logW-CD,MELD_lexicality,MELD_N,MELD_RT,MELD_RTSD,MELD_zRT,MELD_zRTSD,MELD_ERR,MELD_length,MELD_tstroke,MELD_wfreq,MELD_wfreq/mil,MELD_cd,MELD_C1stroke,MELD_C2stroke,MELD_C1nwf,MELD_C2nwf,MELD_C1cf,MELD_C2cf,MELD_C1nom,MELD_C2nom,MELD_C1nop,MELD_C2nop,Concreteness_Mean of Valid Ratings,Concreteness_SD of Valid Ratings,Concreteness_No.of Valid Ratings,CLD_C1,CLD_C2,CLD_Length,CLD_C1Structure,CLD_C2Structure,CLD_C1Type,CLD_C2Type,CLD_Pinyin,CLD_C1Pinyin,CLD_C2Pinyin,CLD_IPA,CLD_C1IPA,CLD_C2IPA,CLD_InitialPhoneme,CLD_FinalPhoneme,CLD_Phonemes,CLD_C1Phonemes,CLD_C2Phonemes,CLD_C1Tone,CLD_C2Tone,CLD_Frequency,CLD_C1Frequency,CLD_C2Frequency,CLD_FrequencyRaw,CLD_C1FrequencyRaw,CLD_C2FrequencyRaw,CLD_FrequencySUBTL,CLD_C1FrequencySUBTL,CLD_C2FrequencySUBTL,CLD_FrequencyRawSUBTL,CLD_C1FrequencyRawSUBTL,CLD_C2FrequencyRawSUBTL,CLD_FrequencyWeibo,CLD_C1FrequencyWeibo,CLD_C2FrequencyWeibo,CLD_FrequencyRawWeibo,CLD_C1FrequencyRawWeibo,CLD_C2FrequencyRawWeibo,CLD_PhonologicalFrequency,CLD_C1PhonologicalFrequency,CLD_C2PhonologicalFrequency,CLD_C1FamilySize,CLD_C2FamilySize,CLD_C1FamilyFrequency,CLD_C2FamilyFrequency,CLD_Strokes,CLD_C1Strokes,CLD_C2Strokes,CLD_C1Pixels,CLD_C2Pixels,CLD_C1PictureSize,CLD_C2PictureSize,CLD_C1OLDPixels,CLD_C2OLDPixels,CLD_PhonologicalN,CLD_C1PhonologicalN,CLD_C2PhonologicalN,CLD_PLD,CLD_C1PLD,CLD_C2PLD,CLD_C1SR,CLD_C2SR,CLD_C1SRFrequency,CLD_C2SRFrequency,CLD_C1SRFamilySize,CLD_C2SRFamilySize,CLD_C1SRStrokes,CLD_C2SRStrokes,CLD_MeanPhonemeFrequency,CLD_C1MeanPhonemeFrequency,CLD_C2MeanPhonemeFrequency,CLD_MinPhonemeFrequency,CLD_C1MinPhonemeFrequency,CLD_C2MinPhonemeFrequency,CLD_MaxPhonemeFrequency,CLD_C1MaxPhonemeFrequency,CLD_C2MaxPhonemeFrequency,CLD_C1InitialPhonemeFrequency,CLD_C2InitialPhonemeFrequency,CLD_MeanDiphoneFrequency,CLD_MinDiphoneFrequency,CLD_MaxDiphoneFrequency,CLD_C1Friends,CLD_C2Friends,CLD_C1HomographTypes,CLD_C2HomographTypes,CLD_C1HomographTokens,CLD_C2HomographTokens,CLD_C1FriendsFrequency,CLD_C2FriendsFrequency,CLD_C1HomographsFrequency,CLD_C2HomographsFrequency,CLD_C1HomophoneTypes,CLD_C2HomophoneTypes,CLD_C1HomophoneTokens,CLD_C2HomophoneTokens,CLD_C1HomophonesFrequency,CLD_C2HomophonesFrequency,CLD_C1Entropy,CLD_C1BackwardEntropy,CLD_C1RE,CLD_C2RE,CLD_PMI,CLD_PSPMI,CLD_TScore,CLD_PSTScore,CLD_C1ConditionalProbability,CLD_C1BackwardConditionalProbability,CLD_EntropyCharacterFrequencies
686,一切,"<entry id=""60725""><hwg><hw>一切</hw><pinyin>yīqiè</pinyin></hwg><def><ps>代</ps>指示代词。</def><def><num>❶</num> 全部；各种：<ex>调动～积极因素。</ex></def><def><num>❷</num> 全部的事物：<ex>人民的利益高于～｜夜深了，田野里的～都是那么静。</ex></def>",9.63636363636364,3.59292233552173,22.0,40.9090909090909,59.0909090909091,45.0,24.0,5.0,4.0,0.36,0.86,25.0,2.35,0.99,20.0,0.55,1.13,11.0,0.21,0.58,14.0,2.38,1.06,8.0,2.33,0.98,12.0,21709.0,647.13,4.3366,5326.0,85.31,3.7264,1.0,40.0,610.62025,104.615791583556,-0.744271613352682,0.2949249601076,0.0,2.0,5.0,21709.0,647.13,5326.0,1.0,1.0,801.0,1.0,604056.0,1.0,11.0,1.0,1.0,1.0,3.740741,1.022538,27.0,一,切,2.0,SG,LR,PicLog,PicPho,yi1qie4,yi1,qie4,i1tɕʰje4,i1,tɕʰje4,i,e,4.0,1.0,3.0,1.0,4.0,488.9177,14863.7877,555.2889,65955.0,3009917.0,112446.0,648.0299,12907.1795,602.6068,21709.0,604056.0,28202.0,436.3511,15451.9011,541.0662,44246.0,2405861.0,84244.0,488.9177,22547.3981,694.507,432.0,58.0,9724.3662,710.2446,5.0,1.0,4.0,957.0,3253.0,649.0,2823.0,2001.35,2500.15,0.0,9.0,13.0,1.9,1.0,1.35,一,刀,47068.6864,5379.8074,26.0,12.0,1.0,2.0,146736.3918,283815.5226,101043.3482,36220.3781,283815.5226,36220.3781,283815.5226,283815.5226,175418.8658,283815.5226,36220.3781,8995.3521,3797.0941,14624.3069,448.0,40.0,1.0,1.0,2.0,20.0,20858.1987,136.4344,0.6375,133.4692,9.0,6.0,195.0,33.0,1200.2817,69.1549,3.6984,0.8650999999999999,4.6165,4.8116,4.6684,5.2212,107.116,131.4253,0.06139255,0.88879755,0.2237
893,一般,"<entry id=""60537""><hwg><hw>一般</hw><pinyin>yībān</pinyin></hwg><def><num>❶</num> <ps>形</ps>一样；同样：<ex>哥<small>儿</small>俩长得～高｜火车飞～地向前驰去。</ex></def><def><num>❷</num> 数量词。一种：<ex>别有～滋味。</ex></def><def><num>❸</num> <ps>形</ps>普通；通常：<ex>～性｜～化｜～情况｜他一早出去，～要到天黑才回家｜～地说，吃这种药是很见效的。</ex></def><ci><div class=""title"">词语</div><div class=""cont""><a href=""entry://一般法"">一般法</a><a href=""entry://一般见识"">一般见识</a></div></ci>",8.33333333333333,4.4983657163071,18.0,83.3333333333333,16.6666666666667,47.0,19.0,4.0,3.0,0.12,0.95,26.0,1.27,0.88,22.0,0.31,0.95,13.0,-0.08,0.95,13.0,1.14,0.9,7.0,1.33,0.9,15.0,2586.0,77.09,3.4126,1788.0,28.64,3.2524,1.0,40.0,618.66625,139.388385523724,-0.691928628934842,0.478496141310196,0.0,2.0,11.0,2586.0,77.09,1788.0,1.0,1.0,801.0,1.0,604056.0,1.0,11.0,1.0,1.0,1.0,3.625,1.13492,24.0,一,般,2.0,SG,LR,PicLog,PicSyn,yi1ban1,yi1,ban1,i1pan1,i1,pan1,i,n,4.0,1.0,3.0,1.0,1.0,106.464,14863.7877,136.3704,14362.0,3009917.0,27615.0,77.194,12907.1795,98.5256,2586.0,604056.0,4611.0,116.1341,15451.9011,147.7457,11776.0,2405861.0,23004.0,106.464,22547.3981,1040.5263,432.0,10.0,9724.3662,120.6079,11.0,1.0,10.0,957.0,4210.0,649.0,3986.0,2001.35,2875.55,3.0,9.0,24.0,1.8,1.0,1.0,一,舟,47068.6864,520.5333,26.0,12.0,1.0,6.0,225133.447,283815.5226,205572.7551,63876.8495,283815.5226,63876.8495,321278.7324,283815.5226,321278.7324,283815.5226,63876.8495,30294.4527,2136.5159,69519.2809,448.0,10.0,1.0,0.0,2.0,0.0,21240.6523,78.5397,0.6375,0.0,9.0,6.0,195.0,132.0,1200.2817,855.5226,3.6984,0.5665999999999999,4.6165,3.2551,5.0238,5.2559,57.0433,62.113,0.01336851,0.91048561,0.0747
1035,万岁,"<entry id=""53133""><hwg><hw>万岁</hw><pinyin>wànsuì</pinyin></hwg><def><num>❶</num> <ps>动</ps>千秋万世，永远存在（祝愿的话）。</def><def><num>❷</num> <ps>名</ps>封建时代臣民对皇帝的称呼。</def>",11.2380952380952,4.35780635073155,21.0,66.6666666666667,33.3333333333333,50.0,22.0,5.0,3.0,0.54,1.5,26.0,1.79,1.35,24.0,0.08,1.0,12.0,0.93,1.77,14.0,2.7,1.06,10.0,1.14,1.17,14.0,739.0,22.03,2.8686,291.0,4.66,2.4639,1.0,40.0,683.5625,375.050390780171,-0.569450315256438,0.789070858381618,0.0,2.0,9.0,739.0,22.03,291.0,3.0,1.0,320.0,1.0,18335.0,1.0,5.0,1.0,2.0,1.0,3.869565,1.140349,23.0,万,岁,2.0,SG,UD,Other,Other,wan4sui4,wan4,sui4,wan4swei4,wan4,swei4,w,i,7.0,3.0,4.0,4.0,4.0,6.1156,576.3111,412.7111,825.0,116703.0,83574.0,22.0597,391.7735,272.3077,739.0,18335.0,12744.0,0.8481,631.7791,454.9133,86.0,98368.0,70830.0,6.1156,697.954,710.8451,92.0,14.0,324.0771,147.3165,9.0,3.0,6.0,2677.0,2857.0,2257.0,2616.0,2332.0,2544.85,0.0,24.0,13.0,2.0,1.0,1.3,一,山,47068.6864,1569.0568,26.0,42.0,1.0,3.0,181219.1983,238369.444,138356.5141,15852.8169,162266.9162,15852.8169,321278.7324,321278.7324,283815.5226,162266.9162,15852.8169,35113.2098,846.3158,69519.2809,94.0,15.0,0.0,0.0,0.0,0.0,677.0867,557.7687,0.0,0.0,2.0,6.0,12.0,47.0,14.7517,146.9607,3.5929,1.6728,3.2727,4.5795,6.141,8.8754,20.4805,53.4789,0.07960247,0.1079560299999999,0.9802
1041,万恶,"<entry id=""53094""><hwg><hw>万恶</hw><pinyin>wàn’è</pinyin></hwg><def><num>❶</num> <ps>形</ps>极端恶毒；罪恶多端：<ex>～不赦。</ex></def><def><num>❷</num> <ps>名</ps>各种罪恶：<ex>～之源。</ex></def>",13.5909090909091,4.12494260749789,22.0,59.0909090909091,40.9090909090909,42.0,18.0,5.0,3.0,-2.39,0.72,23.0,3.0,1.06,24.0,-2.44,0.73,9.0,-2.36,0.74,14.0,2.85,1.14,13.0,3.18,0.98,11.0,34.0,1.01,1.5315,28.0,0.45,1.4472,1.0,37.0,846.824324324324,344.07984479979,-0.0072930082236635,1.02387325689776,7.5,2.0,13.0,34.0,1.01,28.0,3.0,1.0,320.0,1.0,18335.0,1.0,5.0,1.0,2.0,1.0,3.909091,0.867898,22.0,万,恶,2.0,SG,UD,Other,Other,wan4e4,wan4,e4,wan4ɤ4,wan4,ɤ4,w,ɤ,4.0,3.0,1.0,4.0,4.0,4.5589,576.3111,235.9358,615.0,116703.0,47777.0,1.0149,391.7735,265.9188,34.0,18335.0,12445.0,5.7298,631.7791,226.9236,581.0,98368.0,35332.0,4.5589,697.954,428.3247,92.0,55.0,324.0771,263.6546,13.0,3.0,10.0,2677.0,3374.0,2257.0,3135.0,2332.0,2421.6,2.0,24.0,7.0,1.9,1.0,1.0,一,心,47068.6864,19695.9012,26.0,59.0,1.0,4.0,214230.1001,238369.444,141812.0682,141812.0682,162266.9162,141812.0682,321278.7324,321278.7324,141812.0682,162266.9162,141812.0682,36007.9491,1651.0378,69519.2809,94.0,46.0,0.0,3.0,0.0,9.0,678.6434,192.5797,0.0,104.5219,2.0,11.0,12.0,31.0,14.7517,231.1861,3.5929,2.6553,3.2727,4.7441,4.9411,7.8039,11.4492,31.7748,0.05934002,0.05136557,0.8692999999999999
1167,三角,"<entry id=""44172""><hwg><hw>三角</hw><pinyin>sānjiǎo</pinyin></hwg><def><num>❶</num> <ps>名</ps>三角学。</def><def><num>❷</num> <ps>名</ps>形状像三角形的东西：<ex>糖～（食品）｜～铁｜～洲。</ex></def><def><num>❸</num> <ps>形</ps>属性词。涉及三方关系的：<ex>～债｜～恋爱。</ex></def><ci><div class=""title"">词语</div><div class=""cont""><a href=""entry://三角板"">三角板</a><a href=""entry://三角尺"">三角尺</a><a href=""entry://三角函数"">三角函数</a><a href=""entry://三角恋爱"">三角恋爱</a><a href=""entry://三角铁"">三角铁</a><a href=""entry://三角形"">三角形</a><a href=""entry://三角学"">三角学</a><a href=""entry://三角债"">三角债</a><a href=""entry://三角洲"">三角洲</a></div></ci>",10.2857142857143,4.70258287691835,21.0,57.1428571428571,42.8571428571429,44.0,18.0,5.0,4.0,-0.07,0.59,29.0,1.19,1.17,16.0,0.0,0.5,9.0,-0.1,0.64,20.0,1.67,1.12,9.0,0.57,0.98,7.0,140.0,4.17,2.1461,100.0,1.6,2.0,1.0,39.0,803.588974358974,370.800347149634,-0.245741628522664,0.852918284834574,2.5,2.0,10.0,140.0,4.17,100.0,3.0,1.0,314.0,1.0,26275.0,1.0,2.0,1.0,1.0,1.0,1.677419,0.83215,31.0,三,角,2.0,SG,SG,PicLog,Picto,san1jiao3,san1,jiao3,san1tɕjau3,san1,tɕjau3,s,u,7.0,3.0,4.0,1.0,3.0,11.4159,1715.037,263.2444,1540.0,347295.0,53307.0,4.1791,561.4316,186.6453,140.0,26275.0,8735.0,13.8067,2061.7855,286.2685,1400.0,321020.0,44572.0,11.4159,2108.169,551.8977,110.0,83.0,271.5271,307.5834,10.0,3.0,7.0,2138.0,3703.0,933.0,2538.0,1977.55,2637.75,1.0,23.0,15.0,2.2,1.0,1.15,一,角,47068.6864,891.2346,26.0,3.0,1.0,7.0,189972.0544,189564.7443,190277.5371,15852.8169,15852.8169,71647.235,321278.7324,321278.7324,321278.7324,15852.8169,71647.235,44780.6956,3189.5552,81215.1816,110.0,74.0,0.0,1.0,0.0,9.0,2096.1156,162.3425,0.0,169.6219,1.0,13.0,2.0,150.0,0.6375,378.1394,2.9711,2.3035,3.7047,5.1767,5.8347,8.4853,25.0779,63.7827,0.1712442999999999,0.0714783,0.5657999999999999
1203,上位,"<entry id=""45138""><hwg><hw>上位</hw><pinyin>shàngwèi</pinyin></hwg><def><num>❶</num> <ps>名</ps>上面的位置，指较高的地位、职位或尊贵的席位：<ex>身处～而心念黎民。</ex></def><def><num>❷</num> <ps>形</ps>属性词。层级高的：<ex>～词｜～概念。</ex></def><ci><div class=""title"">词语</div><div class=""cont""><a href=""entry://上位概念"">上位概念</a></div></ci>",16.8095238095238,5.81909827738841,21.0,38.0952380952381,61.9047619047619,38.0,20.0,5.0,4.0,-0.29,1.52,24.0,2.96,0.92,28.0,0.0,1.68,13.0,-0.64,1.29,11.0,3.07,0.83,14.0,2.86,1.03,14.0,10.0,0.3,1.0,10.0,0.16,1.0,1.0,37.0,754.669459459459,273.234695565573,-0.270056238044149,0.748490533832506,9.75609756097561,2.0,10.0,10.0,0.3,10.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,3.76,1.011599,25.0,上,位,2.0,SG,LR,PicLog,PicSyn,shang4wei4,shang4,wei4,ʂaŋ4wei4,ʂaŋ4,wei4,ʂ,i,6.0,3.0,3.0,4.0,4.0,1.1564,4716.721,752.7704,156.0,955136.0,152436.0,0.2985,5052.3718,671.5171,10.0,236451.0,31427.0,1.4398,4615.8317,777.1933,146.0,718685.0,121009.0,11.401,6415.1149,6782.3647,285.0,92.0,3394.0252,728.3395,10.0,3.0,7.0,1854.0,3242.0,840.0,2949.0,1981.7,2113.7,3.0,23.0,11.0,1.8,1.0,1.0,一,亻,47068.6864,51543.5654,26.0,164.0,1.0,2.0,182993.4717,186795.8636,179191.0798,89637.45,89637.45,91490.8006,321278.7324,321278.7324,283815.5226,89637.45,162266.9162,34313.3373,1126.9014,60591.6679,285.0,92.0,1.0,0.0,2.0,0.0,6230.4967,1079.0956,86.8569,0.0,1.0,13.0,12.0,264.0,183.4618,5702.1127,4.6542,3.0572,5.3547,6.5131,-2.5771,-0.8657,-2.1867,-0.655,0.00078662,0.00241381,0.5779999999999998
1214,上升,"<entry id=""45107""><hwg><hw>上升</hw><pinyin>shàngshēng</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 由低处往高处移动：<ex>一缕炊烟袅袅～。</ex></def><def><num>❷</num> （等级、程度、数量）升高；增加：<ex>气温～｜产量大幅度～。</ex></def>",8.95238095238095,4.26000223563545,21.0,52.3809523809524,47.6190476190476,52.0,23.0,5.0,1.0,1.28,1.06,25.0,2.63,1.06,24.0,0.9,0.74,10.0,1.53,1.19,15.0,2.58,1.24,12.0,2.67,0.89,12.0,446.0,13.29,2.6493,364.0,5.83,2.5611,1.0,37.0,738.567027027027,295.752872897335,-0.385656531246253,0.831046599767078,7.5,2.0,7.0,446.0,13.29,364.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,2.961538,1.182566,26.0,上,升,2.0,SG,SG,PicLog,Picto,shang4sheng1,shang4,sheng1,ʂaŋ4ʂəŋ1,ʂaŋ4,ʂəŋ1,ʂ,ŋ,6.0,3.0,3.0,4.0,1.0,21.3491,4716.721,487.5012,2880.0,955136.0,98719.0,13.3134,5052.3718,93.2051,446.0,236451.0,4362.0,24.0039,4615.8317,606.018,2434.0,718685.0,94357.0,21.3491,6415.1149,5159.9185,285.0,45.0,3394.0252,278.8584,7.0,3.0,4.0,1854.0,2834.0,840.0,2514.0,1981.7,2420.05,5.0,23.0,21.0,1.75,1.0,1.0,一,十,47068.6864,6136.4741,26.0,16.0,1.0,2.0,148171.5913,186795.8636,109547.319,89533.0986,89637.45,89533.0986,321278.7324,321278.7324,149471.4085,89637.45,89637.45,24106.5278,3803.6694,60500.3632,285.0,45.0,1.0,0.0,2.0,0.0,6210.3039,311.2157,86.8569,0.0,1.0,5.0,12.0,557.0,183.4618,4827.3536,4.6542,2.4116,5.3547,3.7287,3.0592,5.9531,11.7394,35.7808,0.01452228,0.27249503,0.4486
1229,上告,"<entry id=""45045""><hwg><hw>上告</hw><pinyin>shànggào</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 向上级机关或司法部门告状。</def><def><num>❷</num> 向上级报告。</def>",12.9583333333333,3.77035538247324,24.0,58.3333333333333,41.6666666666667,50.0,18.0,5.0,3.0,-0.52,0.73,23.0,2.58,1.06,24.0,-0.29,0.76,7.0,-0.63,0.72,16.0,2.57,1.28,14.0,2.6,0.7,10.0,3.0,0.09,0.4771,3.0,0.05,0.4771,1.0,27.0,968.673333333334,384.709157626301,0.452628680959626,1.20484134238048,32.5,2.0,10.0,3.0,0.09,3.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,2.92,1.187434,25.0,上,告,2.0,SG,UD,PicLog,PicSyn,shang4gao4,shang4,gao4,ʂaŋ4kau4,ʂaŋ4,kau4,ʂ,u,6.0,3.0,3.0,4.0,4.0,0.089,4716.721,684.479,12.0,955136.0,138607.0,0.0896,5052.3718,1636.7308,3.0,236451.0,76599.0,0.0888,4615.8317,398.2531,9.0,718685.0,62008.0,0.089,6415.1149,999.7776,285.0,70.0,3394.0252,983.5878,10.0,3.0,7.0,1854.0,3266.0,840.0,1835.0,1981.7,2308.45,2.0,23.0,22.0,1.9,1.0,1.0,一,口,47068.6864,50016.563,26.0,297.0,1.0,3.0,188108.1616,186795.8636,189420.4596,54217.3314,89637.45,54217.3314,321278.7324,321278.7324,321278.7324,89637.45,54217.3314,31288.7961,3790.0297,70491.8829,285.0,70.0,1.0,0.0,2.0,0.0,6231.5641,999.6887,86.8569,0.0,1.0,0.0,12.0,0.0,183.4618,0.0,4.6542,2.7074,5.3547,6.0103,-6.6764,-3.5989,-2.9868,-0.9525,6.051e-05,0.00036301,0.5484
1243,上学,"<entry id=""45157""><hwg><hw>上学</hw><pinyin>shàng//xué</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> 到学校学习：<ex>我每天早晨七点钟～。</ex></def><def><num>❷</num> 开始到小学学习：<ex>现在孩子一般六岁～。</ex></def>",5.4,1.39170474787692,20.0,45.0,55.0,48.0,19.0,4.0,3.0,0.83,1.01,24.0,2.22,1.22,27.0,0.86,1.03,14.0,0.8,1.03,10.0,2.64,1.12,11.0,1.94,1.24,16.0,1241.0,36.99,3.0938,842.0,13.49,2.9253,1.0,40.0,659.545,178.823687153518,-0.606103565042121,0.638185276356465,0.0,2.0,11.0,1241.0,36.99,842.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,1.685714,0.718308,35.0,上,学,2.0,SG,UD,PicLog,Other,shang4xue2,shang4,xue2,ʂaŋ4ɕɥe2,ʂaŋ4,ɕɥe2,ʂ,e,6.0,3.0,3.0,4.0,2.0,43.8844,4716.721,1166.4395,5920.0,955136.0,236204.0,37.0448,5052.3718,896.6667,1241.0,236451.0,41964.0,46.144,4615.8317,1247.5273,4679.0,718685.0,194240.0,43.8844,6415.1149,1594.5219,285.0,248.0,3394.0252,1430.7191,11.0,3.0,8.0,1854.0,3160.0,840.0,2409.0,1981.7,2536.0,2.0,23.0,6.0,2.1,1.0,1.7,一,子,47068.6864,6417.5605,26.0,26.0,1.0,3.0,123159.9617,186795.8636,59524.0598,17904.5738,89637.45,17904.5738,321278.7324,321278.7324,91490.8006,89637.45,69176.805,18183.1371,3879.874,60500.3632,285.0,249.0,1.0,0.0,2.0,0.0,6187.7687,1534.4552,86.8569,0.0,1.0,2.0,12.0,17.0,183.4618,16.1824,4.6542,3.5732,5.3547,4.8545,1.792,4.0003,8.7676,24.845,0.02985135,0.07039072,0.7184
1256,上市,"<entry id=""45111""><hwg><hw>上市</hw><pinyin>shàng//shì</pinyin></hwg><def><ps>动</ps></def><def><num>❶</num> （货物）开始在市场出售：<ex>六月里西红柿大量～｜这是刚～的苹果。</ex></def><def><num>❷</num> 股票、债券、基金等经批准后在证券交易所挂牌交易：<ex>新股～｜～公司。</ex></def><ci><div class=""title"">词语</div><div class=""cont""><a href=""entry://上市公司"">上市公司</a></div></ci>",19.0952380952381,5.54891666818634,21.0,42.8571428571429,57.1428571428571,48.0,19.0,5.0,3.0,0.86,1.18,28.0,2.35,1.34,23.0,0.79,1.53,14.0,0.93,0.73,14.0,2.22,1.48,9.0,2.43,1.28,14.0,120.0,3.58,2.0792,93.0,1.49,1.9685,1.0,38.0,857.907631578948,350.654726386915,-0.0195524610730849,0.927744715164692,5.0,2.0,8.0,120.0,3.58,93.0,3.0,1.0,338.0,1.0,236451.0,1.0,17.0,1.0,2.0,1.0,2.777778,0.959497,36.0,上,市,2.0,SG,UD,PicLog,PicSyn,shang4shi4,shang4,shi4,ʂaŋ4ʂɹ4,ʂaŋ4,ʂɹ4,ʂ,ɹ,5.0,3.0,2.0,4.0,4.0,17.8873,4716.721,774.4444,2413.0,955136.0,156825.0,3.5821,5052.3718,223.3547,120.0,236451.0,10453.0,22.6134,4615.8317,940.0899,2293.0,718685.0,146372.0,19.7035,6415.1149,32940.1705,285.0,69.0,3394.0252,929.3032,8.0,3.0,5.0,1854.0,3020.0,840.0,1702.0,1981.7,2112.65,6.0,23.0,13.0,1.7,1.0,1.35,一,巾,47068.6864,5269.7481,26.0,32.0,1.0,3.0,146263.3314,186795.8636,85464.533,81291.616,89637.45,81291.616,321278.7324,321278.7324,89637.45,89637.45,89637.45,30194.268,3803.6694,60500.3632,285.0,69.0,1.0,0.0,2.0,0.0,6213.7658,945.2483,86.8569,0.0,1.0,27.0,12.0,1059.0,183.4618,31977.0348,4.6542,1.5067,5.3547,7.3424,1.0493,2.6061,3.1444,8.7218,0.01216745,0.02678017,0.5868999999999999
